Community Area,Community Area Name,Treatment,First_treatment,2000_POP,2010_POP,POP_CHANGE,Per_Year_Change,Pop_2001,Pop_2002,Pop_2003,Pop_2004,Pop_2005,Pop_2006,Pop_2007,Pop_2008,Pop_2009,Pop_2010,Pop_2011,Pop_2012,Pop_2013,Pop_2014,Pop_2015,Pop_2016,Pop_2017,Pop_2018,Pop_2019,Pop_2020,2020_2010_Diff,Birth Rate,General Fertility Rate,Low Birth Weight,Prenatal Care Beginning in First Trimester,Preterm Births,Teen Birth Rate,Assault (Homicide),Breast cancer in females,Cancer (All Sites),Colorectal Cancer,Diabetes-related,Firearm-related,Infant Mortality Rate,Lung Cancer,Prostate Cancer in Males,Stroke (Cerebrovascular Disease),Childhood Blood Lead Level Screening,Childhood Lead Poisoning,Gonorrhea in Females,Gonorrhea in Males,Tuberculosis,Below Poverty Level,Crowded Housing,Dependency,No High School Diploma,Per Capita Income,Unemployment,Crime_2002,Crime_2003,Crime_2004,Crime_2005,Crime_2006,Crime_2007,Crime_2008,Crime_2009,Crime_2010,Crime_2011,Crime_2012,Crime_2013,Crime_2014,Crime_2015,Crime_2016,Crime_2017,Crime_2018,Crime_2019,Crime_2020,Crime_2021,PERCENT OF HOUSING CROWDED,PERCENT HOUSEHOLDS BELOW POVERTY,PERCENT AGED 16+ UNEMPLOYED,PERCENT AGED 25+ WITHOUT HIGH SCHOOL DIPLOMA,PERCENT AGED UNDER 18 OR OVER 64,PER CAPITA INCOME ,HARDSHIP INDEX,2002_cr_per_100k,2003_cr_per_100k,2004_cr_per_100k,2005_cr_per_100k,2006_cr_per_100k,2007_cr_per_100k,2008_cr_per_100k,2009_cr_per_100k,2010_cr_per_100k,2011_cr_per_100k,2012_cr_per_100k,2013_cr_per_100k,2014_cr_per_100k,2015_cr_per_100k,2016_cr_per_100k,2017_cr_per_100k,2018_cr_per_100k,2019_cr_per_100k,2020_cr_per_100k
34,Armour Square,,,12032,13391,1359,135.9,12168,12304,12440,12576,12712,12847,12983,13119,13255,13391,13441,13491,13541,13591,13641,13690,13740,13790,13840,13890,50,11.5,57.1,12.4,79.1,11.8,16.2,1.8,10.7,162.9,23.1,42.5,1.8,1.5,54.3,17.2,38.7,490.3,0.2,222.6,218,22.7,35.8,5.9,37.9,37.5,16942,11.6,,,,,,,,,,,,,,,,,,,,,5.7,40.1,16.7,34.5,38.3,16148,82,,,,,,,,,,,,,,,,,,,
35,Douglas,,,26470,18238,-8232,-823.2,25647,24824,24000,23177,22354,21531,20708,19884,19061,18238,18443,18649,18854,19059,19265,19470,19675,19880,20086,20291,205,10.3,42.2,11.7,76,10.2,34.2,13.6,34.3,269.9,33.2,119.1,9.1,13.4,74.5,85.5,62.1,482.2,0,1063.3,727.4,4.2,26.1,1.6,31,16.9,23098,16.7,,,,,,,,,,,,,,,,,,,,,1.8,29.6,18.2,14.3,30.7,23791,47,,,,,,,,,,,,,,,,,,,
36,Oakland,,,6110,5918,-192,-19.2,6091,6072,6052,6033,6014,5995,5976,5956,5937,5918,6006,6094,6182,6270,6359,6447,6535,6623,6711,6799,88,17.5,63.9,13.5,75,11.5,54.5,18.9,20.6,159.7,14.5,88.7,12.6,8.2,54.5,54.2,43.7,435.4,0.3,1655.4,1629.3,6.7,38.1,3.5,40.5,17.6,19312,26.6,,,,,,,,,,,,,,,,,,,,,1.3,39.7,28.7,18.4,40.4,19252,78,,,,,,,,,,,,,,,,,,,
37,Fuller Park,,,3420,2876,-544,-54.4,3366,3311,3257,3202,3148,3094,3039,2985,2930,2876,2845,2814,2783,2752,2722,2691,2660,2629,2598,2567,-31,11.9,60.4,17.1,71.4,14.3,69.2,49.6,8.5,258.9,21.1,111.7,22.6,22.6,89.6,70.5,82.4,489.9,2.5,1061.9,1556.4,0,55.5,4.5,38.2,33.7,9016,40,,,,,,,,,,,,,,,,,,,,,3.2,51.2,33.9,26.6,44.9,10432,97,,,,,,,,,,,,,,,,,,,
38,Grand Boulevard,,,28006,21929,-6077,-607.7,27398,26791,26183,25575,24968,24360,23752,23144,22537,21929,22195,22461,22727,22993,23259,23525,23791,24057,24323,24589,266,14.3,58.2,12.7,74.2,13.7,54.8,32.1,22.6,218.3,27.7,82.6,25.8,12.1,63.8,39,46.7,590.4,1,1454.6,1680,13.2,28.3,2.7,41.7,19.4,22056,20.6,,,,,,,,,,,,,,,,,,,,,3.3,29.3,24.3,15.9,39.5,23472,57,,,,,,,,,,,,,,,,,,,
39,Kenwood,,,18363,17841,-522,-52.2,18311,18259,18206,18154,18102,18050,17998,17945,17893,17841,17969,18096,18224,18351,18479,18606,18734,18861,18989,19116,128,12.2,51.1,11.4,77.6,11.9,25.7,15.2,30.9,196.4,34.2,45.5,17.4,8.9,49.1,46.2,31.5,397.9,0.4,610.2,549.1,0,23.1,2.3,34.2,10.8,37519,11,,,,,,,,,,,,,,,,,,,,,2.4,21.7,15.7,11.3,35.4,35911,26,,,,,,,,,,,,,,,,,,,
40,Washington Park,,,14146,11717,-2429,-242.9,13903,13660,13417,13174,12932,12689,12446,12203,11960,11717,11816,11915,12014,12113,12212,12311,12410,12509,12608,12707,99,19.3,72.1,17.7,74.9,16.9,82.6,44.6,26,258,31.9,88.2,39.5,19.3,79.8,67,43.3,502.4,0.4,2145.8,2058,5,39.1,4.9,40.9,28.3,13087,23.2,,,,,,,,,,,,,,,,,,,,,5.6,42.1,28.6,25.4,42.8,13785,88,,,,,,,,,,,,,,,,,,,
41,Hyde Park,,,29920,25681,-4239,-423.9,29496,29072,28648,28224,27801,27377,26953,26529,26105,25681,26059,26436,26814,27191,27569,27946,28324,28701,29079,29456,378,9.7,33.9,5.9,80.3,5.5,7.6,5.8,33.6,144,11.7,34,5,10.4,34.9,24.1,26,369,0,216.6,168.4,5.3,18.2,2.5,26.7,5.3,39243,6.9,,,,,,,,,,,,,,,,,,,,,1.5,18.4,8.4,4.3,26.2,39056,14,,,,,,,,,,,,,,,,,,,
42,Woodlawn,,,27086,25983,-1103,-110.3,26976,26865,26755,26645,26535,26424,26314,26204,26093,25983,25827,25671,25516,25360,25204,25048,24892,24737,24581,24425,-156,15.1,60.1,17.4,73.3,16.3,51.1,31.1,32.9,241.3,23.9,82.1,25,11.5,69.8,58,60,444.3,1.6,1382,1818.6,17.4,28.3,1.8,37.6,17.9,18928,17.3,,,,,,,,,,,,,,,,,,,,,2.9,30.7,23.4,16.5,36.1,18672,58,,,,,,,,,,,,,,,,,,,
43,South Shore,,,61556,49767,-11789,-1178.9,60377,59198,58019,56840,55662,54483,53304,52125,50946,49767,50187,50608,51028,51449,51869,52289,52710,53130,53551,53971,420,15.7,67.9,13.8,71.9,13.4,65.9,33.4,32.4,246,25.1,95.4,30,11.4,70,54.8,53.2,470.3,1.1,1718.6,1357.1,11.7,31.5,2.9,37.6,14.9,18366,17.7,,,,,,,,,,,,,,,,,,,,,2.8,31.1,20,14,35.7,19398,55,,,,,,,,,,,,,,,,,,,
